population,R2,coverage,bias
CCR,0.937055114076567,1,0.86454219393798
JLA,0.8981534429662589,1,0.9966796387851629
NRV,0.9294818193243775,1,0.8656121765738989
TSZ,0.8538165410569787,1,0.9826974699988866
all,0.9302292159832785,1,1.007125395104833
